Recency,Frequency,Monetary,R,F,M,RFM_Level,RFM_Score,Cluster
41,20,212.9,4,4,4,VIP,12,2
33,17,212.4,4,4,4,VIP,12,2
70,23,211.9,3,4,4,VIP,11,2
11,19,211.84,4,4,4,VIP,12,2
18,18,211.7,4,4,4,VIP,12,2
50,21,210.64,4,4,4,VIP,12,2
28,20,210.57,4,4,4,VIP,12,2
8,22,210.51,4,4,4,VIP,12,2
212,23,209.6,2,4,4,LOYAL,10,2
57,19,209.06,4,4,4,VIP,12,2
24,21,209.02,4,4,4,VIP,12,2
70,27,208.82,3,4,4,VIP,11,2
119,26,208.22,3,4,4,VIP,11,2
50,20,207.36,4,4,4,VIP,12,2
39,23,207.32,4,4,4,VIP,12,2
110,11,207.05,3,3,4,VIP,10,2
12,17,206.9,4,4,4,VIP,12,2
28,26,206.66,4,4,4,VIP,12,2
119,16,205.9,3,4,4,VIP,11,2
148,23,205.7,2,4,4,LOYAL,10,2
6,15,205.6,4,4,4,VIP,12,2
98,23,205.6,3,4,4,VIP,11,2
194,21,205.44,2,4,4,LOYAL,10,2
33,18,205.26,4,4,4,VIP,12,2
80,24,205.01,3,4,4,VIP,11,2
190,16,205.0,2,4,4,LOYAL,10,2
28,21,204.96,4,4,4,VIP,12,2
0,18,204.76,4,4,4,VIP,12,2
42,11,204.15,4,3,4,VIP,11,2
2,21,204.0,4,4,4,VIP,12,2
63,12,203.95,3,3,4,VIP,10,2
45,14,203.8,4,4,4,VIP,12,2
91,21,203.76,3,4,4,VIP,11,2
13,16,203.6,4,4,4,VIP,12,2
113,17,203.5,3,4,4,VIP,11,2
62,15,203.26,3,4,4,VIP,11,2
13,15,203.1,4,4,4,VIP,12,2
169,21,202.74,2,4,4,LOYAL,10,2
128,16,201.92,3,4,4,VIP,11,2
124,18,201.75,3,4,4,VIP,11,2
41,13,201.7,4,3,4,VIP,11,2
319,11,201.5,1,3,4,LOYAL,8,2
21,23,201.2,4,4,4,VIP,12,2
23,18,201.0,4,4,4,VIP,12,2
5,21,200.3,4,4,4,VIP,12,2
25,15,200.0,4,4,4,VIP,12,2
31,16,199.82,4,4,4,VIP,12,2
143,16,199.6,2,4,4,LOYAL,10,2
1,21,198.7,4,4,4,VIP,12,2
103,14,198.5,3,4,4,VIP,11,2
226,14,197.8,2,4,4,LOYAL,10,2
217,8,197.2,2,2,4,CHURN,8,2
69,19,197.0,3,4,4,VIP,11,2
185,17,196.8,2,4,4,LOYAL,10,2
7,16,196.8,4,4,4,VIP,12,2
9,20,196.3,4,4,4,VIP,12,2
240,18,196.03,2,4,4,LOYAL,10,2
216,18,195.9,2,4,4,LOYAL,10,2
134,16,195.7,3,4,4,VIP,11,2
14,16,195.2,4,4,4,VIP,12,2
163,19,194.7,2,4,4,LOYAL,10,2
319,26,194.04,1,4,4,LOYAL,9,2
138,21,193.82,3,4,4,VIP,11,2
38,16,193.71,4,4,4,VIP,12,2
39,17,193.7,4,4,4,VIP,12,2
28,18,193.5,4,4,4,VIP,12,2
35,14,193.4,4,4,4,VIP,12,2
9,15,193.2,4,4,4,VIP,12,2
49,14,193.0,4,4,4,VIP,12,2
270,9,192.85,2,2,4,CHURN,8,2
150,16,192.72,2,4,4,LOYAL,10,2
91,31,192.63,3,4,4,VIP,11,2
98,16,192.1,3,4,4,VIP,11,2
263,17,192.08,2,4,4,LOYAL,10,2
104,15,191.9,3,4,4,VIP,11,2
65,21,191.84,3,4,4,VIP,11,2
131,13,191.75,3,3,4,VIP,10,2
45,25,191.48,4,4,4,VIP,12,2
88,12,191.35,3,3,4,VIP,10,2
112,11,191.1,3,3,4,VIP,10,2
35,15,191.04,4,4,4,VIP,12,2
51,17,190.96,4,4,4,VIP,12,2
69,21,190.16,3,4,4,VIP,11,2
112,21,189.93,3,4,4,VIP,11,2
186,13,189.9,2,3,4,LOYAL,9,2
118,17,189.76,3,4,4,VIP,11,2
63,21,189.73,3,4,4,VIP,11,2
172,13,189.7,2,3,4,LOYAL,9,2
25,20,189.7,4,4,4,VIP,12,2
152,16,189.62,2,4,4,LOYAL,10,2
32,17,188.94,4,4,4,VIP,12,2
191,18,188.9,2,4,4,LOYAL,10,2
261,18,188.1,2,4,4,LOYAL,10,2
95,14,187.8,3,4,4,VIP,11,2
12,15,187.8,4,4,4,VIP,12,2
118,18,187.5,3,4,4,VIP,11,2
104,16,187.4,3,4,4,VIP,11,2
89,19,186.75,3,4,4,VIP,11,2
353,20,186.46,1,4,4,LOYAL,9,2
1,17,186.05,4,4,4,VIP,12,2
27,20,185.9,4,4,4,VIP,12,2
146,19,185.8,2,4,4,LOYAL,10,2
51,22,185.8,4,4,4,VIP,12,2
427,16,185.54,1,4,4,LOYAL,9,2
56,17,185.5,4,4,4,VIP,12,2
52,27,184.95,4,4,4,VIP,12,2
29,20,184.44,4,4,4,VIP,12,2
1,16,184.44,4,4,4,VIP,12,2
131,13,184.4,3,3,4,VIP,10,2
223,15,183.5,2,4,4,LOYAL,10,2
127,14,183.2,3,4,4,VIP,11,2
57,17,183.1,4,4,4,VIP,12,2
13,14,183.1,4,4,4,VIP,12,2
207,14,183.1,2,4,4,LOYAL,10,2
199,15,182.94,2,4,4,LOYAL,10,2
137,13,182.84,3,3,4,VIP,10,2
151,22,182.45,2,4,4,LOYAL,10,2
211,20,182.4,2,4,4,LOYAL,10,2
100,20,182.1,3,4,4,VIP,11,2
185,17,182.0,2,4,4,LOYAL,10,2
136,21,181.52,3,4,4,VIP,11,2
170,17,181.0,2,4,4,LOYAL,10,2
124,17,180.92,3,4,4,VIP,11,2
324,16,180.86,1,4,4,LOYAL,9,2
157,20,180.64,2,4,4,LOYAL,10,2
68,16,180.4,3,4,4,VIP,11,2
198,13,180.3,2,3,4,LOYAL,9,2
60,8,180.3,3,2,4,NEW,9,2
54,16,180.2,4,4,4,VIP,12,2
62,11,180.0,3,3,4,VIP,10,2
84,14,180.0,3,4,4,VIP,11,2
22,16,179.9,4,4,4,VIP,12,2
114,20,179.8,3,4,4,VIP,11,2
71,12,179.76,3,3,4,VIP,10,2
374,13,179.64,1,3,4,LOYAL,8,2
3,14,179.2,4,4,4,VIP,12,2
45,15,179.1,4,4,4,VIP,12,2
31,18,178.7,4,4,4,VIP,12,2
24,19,178.54,4,4,4,VIP,12,2
109,19,178.26,3,4,4,VIP,11,2
204,15,178.2,2,4,4,LOYAL,10,2
256,15,177.8,2,4,4,LOYAL,10,2
6,13,177.76,4,3,4,VIP,11,2
82,16,177.75,3,4,4,VIP,11,2
38,15,177.66,4,4,4,VIP,12,2
114,14,177.5,3,4,4,VIP,11,2
4,10,177.32,4,3,4,VIP,11,2
192,17,177.2,2,4,4,LOYAL,10,2
33,18,177.1,4,4,4,VIP,12,2
10,11,177.1,4,3,4,VIP,11,2
410,13,176.95,1,3,4,LOYAL,8,2
92,11,176.94,3,3,4,VIP,10,2
86,22,176.9,3,4,4,VIP,11,2
46,13,176.3,4,3,4,VIP,11,2
128,17,176.2,3,4,4,VIP,11,2
52,21,176.2,4,4,4,VIP,12,2
5,20,176.2,4,4,4,VIP,12,2
57,11,175.9,4,3,4,VIP,11,2
92,16,175.74,3,4,4,VIP,11,2
250,15,175.55,2,4,4,LOYAL,10,2
128,16,175.42,3,4,4,VIP,11,2
151,12,174.9,2,3,4,LOYAL,9,2
15,15,174.7,4,4,4,VIP,12,2
79,23,174.64,3,4,4,VIP,11,2
0,13,174.6,4,3,4,VIP,11,2
66,18,174.51,3,4,4,VIP,11,2
49,18,174.3,4,4,4,VIP,12,2
28,10,174.3,4,3,4,VIP,11,2
186,20,173.62,2,4,4,LOYAL,10,2
5,18,173.4,4,4,4,VIP,12,2
184,10,173.0,2,3,4,LOYAL,9,2
22,16,172.97,4,4,4,VIP,12,2
40,17,172.9,4,4,4,VIP,12,2
69,15,172.5,3,4,4,VIP,11,2
185,16,172.04,2,4,4,LOYAL,10,2
252,19,171.85,2,4,4,LOYAL,10,2
10,13,171.56,4,3,4,VIP,11,2
184,18,171.52,2,4,4,LOYAL,10,2
14,11,171.46,4,3,4,VIP,11,2
0,17,171.4,4,4,4,VIP,12,2
361,17,171.1,1,4,4,LOYAL,9,2
0,15,171.03,4,4,4,VIP,12,2
166,15,170.96,2,4,4,LOYAL,10,2
2,19,170.95,4,4,4,VIP,12,2
234,11,170.9,2,3,4,LOYAL,9,2
229,15,170.9,2,4,4,LOYAL,10,2
201,20,170.72,2,4,4,LOYAL,10,2
28,14,170.7,4,4,4,VIP,12,2
261,13,170.5,2,3,4,LOYAL,9,2
47,18,170.12,4,4,4,VIP,12,2
247,18,170.0,2,4,4,LOYAL,10,2
147,16,169.96,2,4,4,LOYAL,10,2
57,17,169.73,4,4,4,VIP,12,2
233,6,169.7,2,1,4,CHURN,7,0
93,13,169.45,3,3,4,VIP,10,2
40,18,168.74,4,4,4,VIP,12,2
42,21,168.55,4,4,4,VIP,12,2
26,20,168.51,4,4,4,VIP,12,2
164,14,168.41,2,4,4,LOYAL,10,2
226,27,168.05,2,4,4,LOYAL,10,2
333,7,167.9,1,2,4,CHURN,7,0
3,17,167.54,4,4,4,VIP,12,2
127,16,167.4,3,4,4,VIP,11,2
9,22,167.39,4,4,4,VIP,12,2
82,19,167.3,3,4,4,VIP,11,2
331,14,167.22,1,4,4,LOYAL,9,2
215,15,167.15,2,4,4,LOYAL,10,2
37,13,167.0,4,3,4,VIP,11,2
85,20,166.8,3,4,4,VIP,11,2
137,20,166.8,3,4,4,VIP,11,2
15,16,166.65,4,4,4,VIP,12,2
15,15,166.65,4,4,4,VIP,12,2
47,16,166.19,4,4,4,VIP,12,2
305,11,166.1,1,3,4,LOYAL,8,2
6,21,166.0,4,4,4,VIP,12,2
59,24,165.9,3,4,4,VIP,11,2
276,18,165.9,2,4,4,LOYAL,10,2
98,20,165.85,3,4,4,VIP,11,2
34,24,165.52,4,4,4,VIP,12,2
267,15,165.5,2,4,4,LOYAL,10,2
39,16,165.5,4,4,4,VIP,12,2
97,15,165.5,3,4,4,VIP,11,2
479,9,165.35,1,2,4,CHURN,7,1
219,17,165.2,2,4,4,LOYAL,10,2
227,19,165.02,2,4,4,LOYAL,10,2
4,16,164.86,4,4,4,VIP,12,2
34,15,164.7,4,4,4,VIP,12,2
127,15,164.7,3,4,4,VIP,11,2
81,13,164.2,3,3,4,VIP,10,2
37,21,164.05,4,4,4,VIP,12,2
99,9,164.0,3,2,4,NEW,9,2
68,28,163.94,3,4,4,VIP,11,2
27,16,163.9,4,4,4,VIP,12,2
26,21,163.9,4,4,4,VIP,12,2
42,23,163.8,4,4,4,VIP,12,2
189,10,163.7,2,3,4,LOYAL,9,2
38,19,163.66,4,4,4,VIP,12,2
1,20,163.32,4,4,4,VIP,12,2
134,20,163.15,3,4,4,VIP,11,2
7,16,163.14,4,4,4,VIP,12,2
156,22,163.0,2,4,4,LOYAL,10,2
151,18,162.93,2,4,4,LOYAL,10,2
76,14,162.9,3,4,4,VIP,11,2
56,18,162.74,4,4,4,VIP,12,2
86,14,162.5,3,4,4,VIP,11,2
56,18,162.5,4,4,4,VIP,12,2
273,12,162.1,2,3,4,LOYAL,9,2
1,15,161.84,4,4,4,VIP,12,2
36,19,161.76,4,4,4,VIP,12,2
111,21,161.7,3,4,4,VIP,11,2
309,12,161.45,1,3,4,LOYAL,8,2
49,15,161.4,4,4,4,VIP,12,2
216,11,161.4,2,3,4,LOYAL,9,2
60,16,161.3,3,4,4,VIP,11,2
139,13,161.3,3,3,4,VIP,10,2
359,14,161.2,1,4,4,LOYAL,9,2
64,17,161.1,3,4,4,VIP,11,2
50,15,161.05,4,4,4,VIP,12,2
265,20,160.8,2,4,4,LOYAL,10,2
51,13,160.65,4,3,4,VIP,11,2
190,18,160.6,2,4,4,LOYAL,10,2
17,19,160.6,4,4,4,VIP,12,2
14,23,160.55,4,4,4,VIP,12,2
38,26,160.32,4,4,4,VIP,12,2
227,15,160.3,2,4,4,LOYAL,10,2
52,9,160.12,4,2,4,NEW,10,2
38,15,160.1,4,4,4,VIP,12,2
132,11,160.1,3,3,4,VIP,10,2
45,14,160.0,4,4,4,VIP,12,2
64,18,159.6,3,4,4,VIP,11,2
241,18,159.5,2,4,4,LOYAL,10,2
132,18,159.42,3,4,4,VIP,11,2
104,14,159.4,3,4,4,VIP,11,2
2,16,159.4,4,4,4,VIP,12,2
201,16,159.3,2,4,4,LOYAL,10,2
134,10,159.3,3,3,4,VIP,10,2
128,16,159.24,3,4,4,VIP,11,2
38,15,159.22,4,4,4,VIP,12,2
127,17,159.0,3,4,4,VIP,11,2
79,19,158.98,3,4,4,VIP,11,2
19,18,158.91,4,4,4,VIP,12,2
14,19,158.9,4,4,4,VIP,12,2
19,22,158.74,4,4,4,VIP,12,2
33,14,158.66,4,4,4,VIP,12,2
129,18,158.6,3,4,4,VIP,11,2
192,17,158.6,2,4,4,LOYAL,10,2
182,23,158.6,2,4,4,LOYAL,10,2
40,19,158.5,4,4,4,VIP,12,2
27,11,158.1,4,3,4,VIP,11,2
89,14,157.8,3,4,4,VIP,11,2
82,16,157.7,3,4,4,VIP,11,2
32,19,157.69,4,4,4,VIP,12,2
186,19,157.6,2,4,4,LOYAL,10,2
109,20,157.52,3,4,4,VIP,11,2
97,17,157.5,3,4,4,VIP,11,2
57,10,157.5,4,3,4,VIP,11,2
361,16,157.4,1,4,4,LOYAL,9,2
31,24,157.4,4,4,4,VIP,12,2
317,12,157.25,1,3,4,LOYAL,8,2
6,22,157.05,4,4,4,VIP,12,2
92,12,157.05,3,3,4,VIP,10,2
307,14,157.0,1,4,4,LOYAL,9,2
215,19,156.98,2,4,4,LOYAL,10,2
116,21,156.95,3,4,4,VIP,11,2
177,19,156.9,2,4,4,LOYAL,10,2
66,11,156.6,3,3,4,VIP,10,2
175,14,156.6,2,4,4,LOYAL,10,2
93,21,156.55,3,4,4,VIP,11,2
175,10,156.5,2,3,4,LOYAL,9,2
88,14,156.4,3,4,4,VIP,11,2
30,12,156.25,4,3,4,VIP,11,2
222,11,156.22,2,3,4,LOYAL,9,2
96,26,156.15,3,4,4,VIP,11,2
198,17,156.1,2,4,4,LOYAL,10,2
188,19,156.0,2,4,4,LOYAL,10,2
64,16,156.0,3,4,4,VIP,11,2
131,9,156.0,3,2,4,NEW,9,2
6,17,155.98,4,4,4,VIP,12,2
88,12,155.9,3,3,4,VIP,10,2
40,18,155.9,4,4,4,VIP,12,2
29,18,155.76,4,4,4,VIP,12,2
238,14,155.7,2,4,4,LOYAL,10,2
59,20,155.66,3,4,4,VIP,11,2
36,25,155.6,4,4,4,VIP,12,2
92,17,155.6,3,4,4,VIP,11,2
189,16,155.6,2,4,4,LOYAL,10,2
138,14,155.0,3,4,4,VIP,11,2
43,16,154.75,4,4,4,VIP,12,2
272,13,154.6,2,3,4,LOYAL,9,2
376,16,154.44,1,4,4,LOYAL,9,2
313,12,154.35,1,3,4,LOYAL,8,2
37,17,154.34,4,4,4,VIP,12,2
190,14,154.3,2,4,4,LOYAL,10,2
294,11,154.3,1,3,4,LOYAL,8,2
42,14,154.25,4,4,4,VIP,12,2
283,12,154.15,1,3,4,LOYAL,8,2
249,20,153.97,2,4,4,LOYAL,10,2
122,13,153.96,3,3,4,VIP,10,2
128,20,153.76,3,4,4,VIP,11,2
38,18,153.6,4,4,4,VIP,12,2
33,19,153.56,4,4,4,VIP,12,2
164,14,153.4,2,4,4,LOYAL,10,2
44,20,153.36,4,4,4,VIP,12,2
139,18,153.31,3,4,4,VIP,11,2
277,11,153.16,2,3,4,LOYAL,9,2
4,22,153.0,4,4,4,VIP,12,2
52,13,152.7,4,3,4,VIP,11,2
73,24,152.56,3,4,4,VIP,11,2
42,20,152.54,4,4,4,VIP,12,2
70,17,152.42,3,4,4,VIP,11,2
87,19,152.4,3,4,4,VIP,11,2
43,17,152.1,4,4,4,VIP,12,2
334,12,152.04,1,3,4,LOYAL,8,2
246,13,152.02,2,3,4,LOYAL,9,2
183,15,151.8,2,4,4,LOYAL,10,2
30,11,151.7,4,3,4,VIP,11,2
124,17,151.66,3,4,4,VIP,11,2
118,14,151.55,3,4,4,VIP,11,2
98,12,151.4,3,3,4,VIP,10,2
78,15,151.14,3,4,4,VIP,11,2
53,20,151.14,4,4,4,VIP,12,2
16,17,151.06,4,4,4,VIP,12,2
8,9,151.0,4,2,4,NEW,10,2
313,14,150.72,1,4,4,LOYAL,9,2
153,15,150.7,2,4,4,LOYAL,10,2
183,18,150.7,2,4,4,LOYAL,10,2
47,20,150.65,4,4,4,VIP,12,2
26,25,150.58,4,4,4,VIP,12,2
331,13,150.45,1,3,4,LOYAL,8,2
30,11,150.4,4,3,4,VIP,11,2
38,21,150.3,4,4,4,VIP,12,2
81,9,150.2,3,2,4,NEW,9,2
2,21,150.12,4,4,4,VIP,12,2
8,11,149.9,4,3,4,VIP,11,2
80,16,149.8,3,4,4,VIP,11,2
113,20,149.79,3,4,4,VIP,11,2
51,18,149.5,4,4,4,VIP,12,2
58,18,149.45,3,4,4,VIP,11,2
35,15,149.36,4,4,4,VIP,12,2
213,18,149.25,2,4,4,LOYAL,10,2
73,12,149.1,3,3,4,VIP,10,2
116,14,149.1,3,4,4,VIP,11,2
149,13,148.94,2,3,4,LOYAL,9,2
244,12,148.8,2,3,4,LOYAL,9,2
359,10,148.6,1,3,4,LOYAL,8,2
36,12,148.6,4,3,4,VIP,11,2
82,19,148.52,3,4,4,VIP,11,2
23,15,148.4,4,4,4,VIP,12,2
135,13,148.4,3,3,4,VIP,10,2
0,18,148.4,4,4,4,VIP,12,2
29,10,148.4,4,3,4,VIP,11,2
38,11,148.3,4,3,4,VIP,11,2
121,17,148.01,3,4,4,VIP,11,2
123,14,148.0,3,4,4,VIP,11,2
191,23,148.0,2,4,4,LOYAL,10,2
102,17,148.0,3,4,4,VIP,11,2
45,14,147.94,4,4,4,VIP,12,2
247,12,147.68,2,3,4,LOYAL,9,2
54,21,147.41,4,4,4,VIP,12,2
3,16,147.35,4,4,4,VIP,12,2
86,12,147.29,3,3,4,VIP,10,2
34,15,147.2,4,4,4,VIP,12,2
198,15,147.02,2,4,4,LOYAL,10,2
196,19,146.61,2,4,4,LOYAL,10,2
221,16,146.6,2,4,4,LOYAL,10,2
27,14,146.6,4,4,4,VIP,12,2
128,15,146.4,3,4,4,VIP,11,2
285,8,146.4,1,2,4,CHURN,7,0
65,16,146.35,3,4,4,VIP,11,2
53,13,146.28,4,3,4,VIP,11,2
285,14,146.25,1,4,4,LOYAL,9,2
37,14,146.2,4,4,4,VIP,12,2
181,10,146.1,2,3,4,LOYAL,9,2
241,14,145.8,2,4,4,LOYAL,10,2
41,21,145.76,4,4,4,VIP,12,2
64,23,145.52,3,4,4,VIP,11,2
56,15,145.5,4,4,4,VIP,12,2
99,18,145.5,3,4,4,VIP,11,2
30,15,145.5,4,4,4,VIP,12,2
19,17,145.44,4,4,4,VIP,12,2
98,18,145.3,3,4,4,VIP,11,2
35,19,145.3,4,4,4,VIP,12,2
36,18,145.23,4,4,4,VIP,12,2
56,22,145.22,4,4,4,VIP,12,2
10,14,145.2,4,4,4,VIP,12,2
47,17,145.2,4,4,4,VIP,12,2
8,20,145.05,4,4,4,VIP,12,2
23,17,145.0,4,4,4,VIP,12,2
81,16,144.9,3,4,4,VIP,11,2
0,16,144.87,4,4,4,VIP,12,2
13,12,144.7,4,3,4,VIP,11,2
205,17,144.65,2,4,4,LOYAL,10,2
137,17,144.61,3,4,4,VIP,11,2
110,15,144.6,3,4,4,VIP,11,2
245,15,144.6,2,4,4,LOYAL,10,2
50,18,144.4,4,4,4,VIP,12,2
95,17,144.39,3,4,4,VIP,11,2
13,14,144.1,4,4,4,VIP,12,2
325,11,144.02,1,3,4,LOYAL,8,2
195,13,144.0,2,3,4,LOYAL,9,2
200,15,143.85,2,4,4,LOYAL,10,2
279,14,143.84,2,4,4,LOYAL,10,2
225,13,143.8,2,3,4,LOYAL,9,2
46,12,143.8,4,3,4,VIP,11,2
81,14,143.7,3,4,4,VIP,11,2
32,14,143.7,4,4,4,VIP,12,2
68,15,143.66,3,4,4,VIP,11,2
75,8,143.65,3,2,4,NEW,9,0
110,14,143.62,3,4,4,VIP,11,2
84,8,143.6,3,2,4,NEW,9,0
66,22,143.55,3,4,4,VIP,11,2
74,8,143.5,3,2,4,NEW,9,0
80,15,143.2,3,4,4,VIP,11,2
279,11,143.15,2,3,4,LOYAL,9,2
1,12,143.12,4,3,4,VIP,11,2
50,20,143.1,4,4,4,VIP,12,2
72,8,143.0,3,2,4,NEW,9,0
22,16,142.9,4,4,4,VIP,12,2
75,14,142.9,3,4,4,VIP,11,2
77,9,142.7,3,2,4,NEW,9,0
56,17,142.26,4,4,4,VIP,12,2
62,14,142.24,3,4,4,VIP,11,2
82,11,142.2,3,3,4,VIP,10,2
160,16,142.1,2,4,4,LOYAL,10,2
29,13,142.1,4,3,4,VIP,11,2
7,19,142.05,4,4,4,VIP,12,2
116,13,142.0,3,3,4,VIP,10,2
173,16,141.95,2,4,4,LOYAL,10,2
90,16,141.94,3,4,4,VIP,11,2
203,16,141.86,2,4,4,LOYAL,10,2
276,15,141.8,2,4,4,LOYAL,10,2
139,17,141.6,3,4,4,VIP,11,2
179,11,141.6,2,3,4,LOYAL,9,2
304,13,141.5,1,3,4,LOYAL,8,2
385,14,141.4,1,4,4,LOYAL,9,2
29,15,141.2,4,4,4,VIP,12,2
88,14,141.2,3,4,4,VIP,11,2
91,20,140.86,3,4,4,VIP,11,2
72,15,140.64,3,4,4,VIP,11,2
107,16,140.6,3,4,4,VIP,11,2
150,9,140.6,2,2,4,CHURN,8,0
11,19,140.56,4,4,4,VIP,12,2
73,18,140.4,3,4,4,VIP,11,2
256,10,140.4,2,3,4,LOYAL,9,2
223,8,140.2,2,2,4,CHURN,8,0
141,12,140.2,3,3,4,VIP,10,2
19,14,140.2,4,4,4,VIP,12,2
27,13,140.02,4,3,4,VIP,11,2
84,15,140.0,3,4,4,VIP,11,2
281,9,139.9,1,2,4,CHURN,7,0
127,13,139.6,3,3,4,VIP,10,2
267,14,139.55,2,4,4,LOYAL,10,2
355,12,139.4,1,3,4,LOYAL,8,2
61,12,139.4,3,3,4,VIP,10,2
